Brand Name,Product Name,Base Price,Final Price,Savings Price,Category,Rating,URL
Craftsman 3-Drawer Portable Tool Chest - Red,Craftsman,$129.99,$59.99,70.00,Tools_Tool Storage_Portable Toolboxes,4.5,https://www.sears.com/craftsman-3-drawer-portable-tool-chest/p-00935112000P
Craftsman 13-in and 18-in Tool Bag Set,Craftsman,$39.99,$14.99,25.00,Tools_Tool Storage_Tool Carriers,4.5,https://www.sears.com/craftsman-13-in-18-in-tool-bag-combo/p-00937537000P
Craftsman 19-in Toolbox with Tray - Black/Red,Craftsman,$49.99,$24.99,25.00,Tools_Tool Storage_Portable Toolboxes,4.0,https://www.sears.com/craftsman-19-inch-tool-box-with-tray-black-red/p-A025336352
Craftsman 41&#8221; 7 Drawer Cabinet,Craftsman,"$1,249.99",$539.99,710.00,Tools_Tool Storage_Bottom Rollaway Chests,3.5,https://www.sears.com/craftsman-41-8221-7-drawer-cabinet/p-A075482002
Costway High Capacity 6-Drawer Rolling Tool Chest Storage Cabinet Toolbox Combo with Riser,Costway,$344.99,$229.99,115.00,Tools_Tool Storage_Portable Toolboxes,4.5,https://www.sears.com/costway-high-capacity-6-drawer-rolling-tool-chest/p-A118392399
Craftsman 52 in. 6-Drawer Tool Chest,Craftsman,"$1,099.99",$359.99,740.00,Tools_Tool Storage_Bottom Rollaway Chests,0,https://www.sears.com/craftsman-52-in-6-drawer-tool-chest/p-A108332795
Craftsman 48 in. Adjustable Height Workbench with Pegboard and LED Light,Craftsman,$499.99,$179.99,320.00,Tools_Tool Storage_Workstations & Project Centers,4.5,https://www.sears.com/craftsman-48-in-adjustable-height-workbench-with-pegboard/p-A105187085
Craftsman 41&#8221; 6 Drawer Chest,Craftsman,$749.99,$233.99,516.00,Tools_Tool Storage_Top Chest,4.0,https://www.sears.com/craftsman-41-8221-6-drawer-chest/p-A075482000
DieHard 26&#8221; Bottom Rollaway Chest with 4 Drawers,DieHard,$499.99,$179.99,320.00,Tools_Tool Storage_Bottom Rollaway Chests,0,https://www.sears.com/diehard-26-8221-bottom-rollaway-chest-with-4-drawers/p-A108507351
DieHard 26&#8221; Top Chest with 4 Drawers,DieHard,$299.99,$125.99,174.00,Tools_Tool Storage_Top Chest,4.0,https://www.sears.com/diehard-26-8221-top-chest-with-4-drawers/p-A108507250
Costway 2 in 1 Rolling Cabinet Storage Chest Box Garage Toolbox Organizer with 6 Drawers,Costway,$299.99,$199.99,100.00,Tools_Tool Storage_Tool Carts,0,https://www.sears.com/costway-2-in-1-rolling-cabinet-storage-chest/p-A118407054
Gymax 2 in 1 Rolling Garage Toolbox Storage Chest Cabinet Organizer w/ 6 Drawers Red,Gymax,$219.99,$169.99,50.00,Tools_Tool Storage_Portable Toolboxes,5.0,https://www.sears.com/gymax-2-in-1-rolling-garage-toolbox-storage/p-A098857837
Gymax High Capacity 6-Drawer Rolling Tool Chest Storage Cabinet Toolbox Combo w/ Riser,Gymax,$249.99,$195.99,54.00,Tools_Tool Storage_Portable Toolboxes,1.0,https://www.sears.com/gymax-high-capacity-6-drawer-rolling-tool-chest/p-A078393758
Powerbuilt 26 Inch Rapid Box Portable Slant Front Power Tool Grey Locker Box - 941805E,Powerbuilt,$649.99,$584.99,65.00,Tools_Tool Storage_Portable Toolboxes,0,https://www.sears.com/powerbuilt-26-in-rapid-box-portable-slant-front/p-A098842256
"Manhattan Comfort Fortress Rolling 2 Door Garage Storage Cabinet, Black/Gray",Manhattan Comfort,$325.72,$278.17,47.55,Tools_Tool Storage_Tool Chest Combos,0,https://www.sears.com/manhattan-comfort-fortress-rolling-2-door-garage-storage/p-A082469175
Costway Three Tray Rolling Tool Cart Mechanic Cabinet Storage ToolBox Organizer w/Drawer,Costway,$194.99,$129.99,65.00,Tools_Tool Storage_Tool Carts,0,https://www.sears.com/costway-three-tray-rolling-tool-cart-mechanic-cabinet/p-A102861918
Gymax 2-in-1 Rolling Tool Box Set Mobile Tool Chest Storage Organizer Portable Black,Gymax,$99.99,$79.95,20.04,Tools_Tool Storage_Tool Chest Combos,0,https://www.sears.com/gymax-2-in-1-rolling-tool-box-set/p-A027535251
Costway 6-Drawer Rolling Tool Chest Storage Cabinet w/Riser Red,Costway,$344.99,$229.99,115.00,Tools_Tool Storage_Portable Toolboxes,0,https://www.sears.com/costway-6-drawer-rolling-tool-chest-storage-cabinet/p-A088531393
