domain,bl,dp,aby,acr,dmoz,status_com,status_net,status_org,status_de,status_tld_registered,related_cnobi,end_date
856SunBet.com,0,573.2 K,2018,240,-,registered,available,available,available,1,0,2023-12-09
500gvb.com,0,531.6 K,2018,197,-,registered,available,available,available,1,0,2023-12-09
4455770.com,0,17.8 K,2016,6,-,registered,available,available,available,1,0,2023-12-09
4455535.com,0,17.7 K,2019,7,-,registered,available,available,available,1,1,2023-12-09
4455220.com,0,17.6 K,2016,10,-,registered,available,available,available,1,2,2023-12-09
smskl.org.cn,1,9.7 K,2020,16,-,registered,available,registered,available,3,11,2023-12-09
hsbo.com.cn,0,8.7 K,2006,54,-,registered,registered,registered,registered,21,194,2023-12-09
xlgfloor.com,0,8.7 K,2020,9,-,registered,available,available,available,2,0,2023-12-09
longcenet.com,0,8.6 K,2011,3,-,registered,available,available,available,1,0,2023-12-09
ut8f.info,0,8.3 K,2011,56,-,registered,available,available,available,3,3,2023-12-09
nx0m.cn,0,2.8 K,2019,4,-,available,available,available,available,0,1,2023-12-09
h5dm.cn,0,2.8 K,2019,17,-,registered,available,registered,available,3,5,2023-12-09
a38va.cn,0,2.8 K,2019,18,-,available,available,available,available,0,1,2023-12-09
tadalafil24h.us,20.5 K,2.2 K,2021,26,-,available,available,available,available,2,0,2023-12-09
cialis23.us,18.5 K,2.2 K,2021,22,-,available,available,available,available,0,0,2023-12-09
petsrehomed.co.uk,18.7 K,1.8 K,2014,69,-,available,available,available,available,0,0,2023-12-09
DevEnderPalSingh.com,0,1.4 K,2012,37,-,registered,available,available,available,1,0,2023-12-09
MerchantAccountQuoter.com,0,1.4 K,2004,46,-,registered,available,available,available,1,0,2023-12-09
MovinOnEscorts.com,0,1.4 K,2013,25,-,registered,available,available,available,1,0,2023-12-09
encuentroscalientes.com,0,1.4 K,2008,38,-,registered,available,available,available,2,0,2023-12-09
dimensione-legno.com,0,1.4 K,2002,45,-,registered,registered,available,available,4,2,2023-12-09
dcmrktng.com,0,1.4 K,2007,51,-,registered,available,available,available,1,0,2023-12-09
4HourWealth.com,0,1.4 K,2012,31,-,registered,available,available,available,1,1,2023-12-09
jfstevens.com,10,1.4 K,2010,28,-,registered,registered,available,available,2,2,2023-12-09
CallCenter-Tech.com,0,1.4 K,2011,18,-,registered,available,available,available,1,0,2023-12-09
mestregiardinaggio.com,1,1.4 K,2012,37,-,registered,available,available,available,1,0,2023-12-09
MomFilmsTube.com,14,1.4 K,2012,187,-,registered,available,available,available,1,0,2023-12-09
economischnieuws.com,0,1.4 K,2004,20,-,registered,registered,available,available,3,2,2023-12-09
learzillevecchiette.com,3,1.4 K,2014,28,-,registered,available,available,available,1,0,2023-12-09
JamesWattDock.com,0,1.4 K,2006,24,-,registered,available,available,available,1,1,2023-12-09
Dama-Shop.com,0,1.4 K,2006,38,-,registered,available,available,available,3,3,2023-12-09
assosteria.com,4,1.4 K,2009,34,-,registered,available,available,available,1,0,2023-12-09
domwebr.com,0,1.4 K,2011,28,-,registered,available,available,available,1,0,2023-12-09
DenverStopSmoking.com,0,1.4 K,2011,19,-,registered,available,available,available,1,1,2023-12-09
giadadipelle.com,0,1.4 K,2012,63,-,registered,available,available,available,1,0,2023-12-09
skirm-magazine.com,14,1.4 K,2013,38,-,registered,available,available,available,1,0,2023-12-09
danielhanifan.com,12,1.4 K,2011,44,-,registered,available,available,available,1,0,2023-12-09
engagementringsi.com,0,1.4 K,2007,28,-,registered,available,available,available,1,10,2023-12-09
AuntiesMusiClub.com,82,1.4 K,2011,22,-,registered,available,available,available,1,0,2023-12-09
dcprototypes.com,0,1.4 K,2011,23,-,registered,available,available,available,1,0,2023-12-09
Counting-Solutions.com,9,1.4 K,2001,67,-,registered,available,available,available,1,28,2023-12-09
ElanUnciAnte.com,0,1.4 K,2004,41,-,registered,available,available,available,2,4,2023-12-09
JenniferRoseBrook.com,0,1.4 K,2009,66,-,registered,available,available,available,1,0,2023-12-09
Fish-Photos.com,0,1.4 K,2004,25,-,registered,available,available,available,1,0,2023-12-09
Faithful-Productions.com,0,1.4 K,2013,20,-,registered,available,available,available,1,0,2023-12-09
bearstateinc.com,1,1.4 K,2011,20,-,registered,available,available,available,1,0,2023-12-09
miatacup.com,0,1.4 K,2003,31,-,registered,available,available,available,2,2,2023-12-09
esports-connection.com,0,1.4 K,2011,25,-,registered,registered,available,available,2,2,2023-12-09
beknazarov.com,0,1.4 K,2011,16,-,registered,available,available,available,2,3,2023-12-09
destefano-assoc.com,1,1.4 K,2005,23,-,registered,available,available,available,1,2,2023-12-09
CompleteMedicalManagement.com,0,1.4 K,2008,19,-,registered,available,available,available,1,0,2023-12-09
